fname,true_pairwise_het,true_num_seg,true_pi_w,true_pi_b,true_pi_t,true_hudson_fst,true_nei_fst,pool_size,read_depth,seq_error,num_sites
10_10_0.0_1_const_1_pop_theta_0.0001.txt,0.0001940513831977257,5670.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_1_const_1_pop_theta_0.000325.txt,0.0005992182864425057,16679.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_1_const_1_pop_theta_0.00055.txt,0.0011085474345652385,32447.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_1_const_1_pop_theta_0.0007750000000000001.txt,0.0015147799256935593,44624.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_1_const_1_pop_theta_0.001.txt,0.0019237684152534067,54610.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_1_exp_growth_1_pop_theta_0.0001.txt,0.00013483868718753065,5726.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_1_exp_growth_1_pop_theta_0.000325.txt,0.00043212711126360166,18797.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_1_exp_growth_1_pop_theta_0.00055.txt,0.0007405577713949616,32054.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_1_exp_growth_1_pop_theta_0.0007750000000000001.txt,0.0010320219347122836,43956.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_1_exp_growth_1_pop_theta_0.001.txt,0.0013369024977943334,57050.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_1_const_2_pop_t_div_0.0.txt,,,0.0020388763719243206,0.0020409533771198903,0.0020399148745221056,0.001017664204804483,0.0005090911443196263,10.0,10.0,0.0,1000000.0
10_10_0.0_1_const_2_pop_t_div_0.25.txt,,,0.0017266344348593134,0.0020415573277129694,0.0018840958812861486,0.15425620852217004,0.08357400915252072,10.0,10.0,0.0,1000000.0
10_10_0.0_1_const_2_pop_t_div_0.5.txt,,,0.001877972218409953,0.002351858035486717,0.0021149151269483383,0.20149422708615713,0.11203423982326702,10.0,10.0,0.0,1000000.0
10_10_0.0_1_const_2_pop_t_div_0.75.txt,,,0.0020501748848151856,0.0027948825468091364,0.002422528715812175,0.2664540099705332,0.15370460980156195,10.0,10.0,0.0,1000000.0
10_10_0.0_1_const_2_pop_t_div_1.0.txt,,,0.0018070442897754838,0.002650311812567395,0.002228678051171454,0.31817672124210394,0.18918558522813458,10.0,10.0,0.0,1000000.0
10_10_0.0_2_stat_1_pop_alpha_0.1.txt,0.10421194787126546,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_2_stat_1_pop_alpha_0.17500000000000002.txt,0.1547786959420956,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_2_stat_1_pop_alpha_0.25.txt,0.1905914752967368,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_2_stat_1_pop_alpha_0.32500000000000007.txt,0.21573308468568073,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_2_stat_1_pop_alpha_0.4.txt,0.23375311022651135,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_2_stat_2_pop_beta_0.1.txt,,,0.06381258239148686,0.10882503851308921,0.08631881045228805,0.4136222392991697,0.2607337606122515,10.0,10.0,0.0,1000.0
10_10_0.0_2_stat_2_pop_beta_0.325.txt,,,0.0666469011472107,0.0924022154989397,0.07952455832307523,0.27873048511509496,0.16193308642530227,10.0,10.0,0.0,1000.0
10_10_0.0_2_stat_2_pop_beta_0.55.txt,,,0.07931568514890082,0.10742230137371496,0.09336899326130783,0.26164600707103747,0.1505136514975225,10.0,10.0,0.0,1000.0
10_10_0.0_2_stat_2_pop_beta_0.775.txt,,,0.08764077704543091,0.1095634380233072,0.09860210753436909,0.20009102829734796,0.11116730425987552,10.0,10.0,0.0,1000.0
10_10_0.0_2_stat_2_pop_beta_1.0.txt,,,0.09381377643023364,0.1169114903016692,0.10536263336595143,0.19756581506091517,0.10961055705209694,10.0,10.0,0.0,1000.0
10_10_0.0_2_const_1_pop_theta_0.0001.txt,0.00020904598686403292,6092.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_2_const_1_pop_theta_0.000325.txt,0.0006461298317811979,19687.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_2_const_1_pop_theta_0.00055.txt,0.0010841167283599648,32813.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_2_const_1_pop_theta_0.0007750000000000001.txt,0.0015885204452504656,44643.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_2_const_1_pop_theta_0.001.txt,0.0019208805136751296,56255.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_2_exp_growth_1_pop_theta_0.0001.txt,0.00013580035427899226,5693.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_2_exp_growth_1_pop_theta_0.000325.txt,0.00043718043525144595,18604.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_2_exp_growth_1_pop_theta_0.00055.txt,0.0007291253183021272,31480.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_2_exp_growth_1_pop_theta_0.0007750000000000001.txt,0.0010495340264679938,44790.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_2_exp_growth_1_pop_theta_0.001.txt,0.0013409014208410942,57872.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_2_const_2_pop_t_div_0.0.txt,,,0.002019285245564133,0.002021824201548868,0.002020554723556514,0.0012557748506473513,0.0006282819156448198,10.0,10.0,0.0,1000000.0
10_10_0.0_2_const_2_pop_t_div_0.25.txt,,,0.0018428562621311461,0.0020397218253112442,0.0019412890437212039,0.0965158879692127,0.050704856089526275,10.0,10.0,0.0,1000000.0
10_10_0.0_2_const_2_pop_t_div_0.5.txt,,,0.0018824158455053358,0.0023875117890402903,0.0021349638172728164,0.21155746574888673,0.11829145286878122,10.0,10.0,0.0,1000000.0
10_10_0.0_2_const_2_pop_t_div_0.75.txt,,,0.001942189635329839,0.002556375359278502,0.0022492824973041857,0.24025647161690977,0.13652925425881549,10.0,10.0,0.0,1000000.0
10_10_0.0_2_const_2_pop_t_div_1.0.txt,,,0.002298395410254039,0.003402004911283208,0.0028502001607685528,0.324399737745498,0.19360210490119414,10.0,10.0,0.0,1000000.0
10_10_0.0_3_stat_1_pop_alpha_0.1.txt,0.1041343091457498,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_3_stat_1_pop_alpha_0.17500000000000002.txt,0.1547060915329753,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_3_stat_1_pop_alpha_0.25.txt,0.19054181742316947,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_3_stat_1_pop_alpha_0.32500000000000007.txt,0.215863685967017,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_3_stat_1_pop_alpha_0.4.txt,0.23388843102968682,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_3_stat_2_pop_beta_0.1.txt,,,0.05889014407501808,0.10074394018240312,0.0798170421287106,0.4154472818077808,0.2621858377055169,10.0,10.0,0.0,1000.0
10_10_0.0_3_stat_2_pop_beta_0.325.txt,,,0.07240295868873166,0.10764869483747236,0.090025826763102,0.32741443082012833,0.19575347106496394,10.0,10.0,0.0,1000.0
10_10_0.0_3_stat_2_pop_beta_0.55.txt,,,0.07735946322271135,0.10362538700598499,0.09049242511434821,0.25346997045961933,0.14512774826226352,10.0,10.0,0.0,1000.0
10_10_0.0_3_stat_2_pop_beta_0.775.txt,,,0.07716903735543007,0.09369056001969836,0.08542979868756423,0.176341380185951,0.09669648599250011,10.0,10.0,0.0,1000.0
10_10_0.0_3_stat_2_pop_beta_1.0.txt,,,0.08956891815039389,0.10666590181597811,0.09811740998318598,0.16028537118713193,0.08712512727615837,10.0,10.0,0.0,1000.0
10_10_0.0_3_const_1_pop_theta_0.0001.txt,0.00019723432016468973,5791.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_3_const_1_pop_theta_0.000325.txt,0.0006839837492402705,20196.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_3_const_1_pop_theta_0.00055.txt,0.0011086338707969807,32717.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_3_const_1_pop_theta_0.0007750000000000001.txt,0.0015801388254092733,45047.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_3_const_1_pop_theta_0.001.txt,0.0019833750563670225,59600.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_3_exp_growth_1_pop_theta_0.0001.txt,0.00013144129614743656,5621.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_3_exp_growth_1_pop_theta_0.000325.txt,0.00043495253955494554,18615.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_3_exp_growth_1_pop_theta_0.00055.txt,0.0007416670193118323,31649.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_3_exp_growth_1_pop_theta_0.0007750000000000001.txt,0.0010347598278600142,44439.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_3_exp_growth_1_pop_theta_0.001.txt,0.0013161758453092839,56890.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_3_const_2_pop_t_div_0.0.txt,,,0.0020182700166650027,0.002020000399960788,0.0020191352083129104,0.0008566252243410576,0.0004284961424800232,10.0,10.0,0.0,1000000.0
10_10_0.0_3_const_2_pop_t_div_0.25.txt,,,0.0022458802989903147,0.0024935124772081166,0.0023696963880992057,0.09931058315580014,0.0522497690973007,10.0,10.0,0.0,1000000.0
10_10_0.0_3_const_2_pop_t_div_0.5.txt,,,0.002048189377511998,0.002596141388099206,0.0023221653828056073,0.21106400949464366,0.11798298576072794,10.0,10.0,0.0,1000000.0
10_10_0.0_3_const_2_pop_t_div_0.75.txt,,,0.002084751676306279,0.0030172255563180083,0.0025509886163121265,0.309050106664763,0.1827671582007566,10.0,10.0,0.0,1000000.0
