fname,true_pairwise_het,true_num_seg,pool_size,read_depth,seq_error,num_sites
100_1000_1e-05_1_exp_growth_1_pop_theta_0.001.txt,0.001354455013554,345948,100,1000,1E-05,10000000
100_100_0.001_7_exp_growth_1_pop_theta_0.001.txt,0.001354459239669,348346,100,100,0.001,10000000
1000_10_0.0_4_exp_growth_1_pop_theta_0.001.txt,0.00135451183665,1520860,1000,10,0,10000000
100_10_0.0_2_exp_growth_1_pop_theta_0.001.txt,0.001354603417025,346809,100,10,0,10000000
10_1000_0.0_0_exp_growth_1_pop_theta_0.001.txt,0.001354666664249,57872,10,1000,0,10000000
1000_100_1e-05_9_exp_growth_1_pop_theta_0.001.txt,0.0013552008809,1514116,1000,100,1E-05,10000000
1000_100_0.001_9_exp_growth_1_pop_theta_0.001.txt,0.00135557156665,1510641,1000,100,0.001,10000000
100_10_1e-05_0_exp_growth_1_pop_theta_0.001.txt,0.001355994470413,347166,100,10,1E-05,10000000
10_100_1e-05_6_exp_growth_1_pop_theta_0.001.txt,0.001356315519459,57260,10,100,1E-05,10000000
1000_1000_0.0_5_exp_growth_1_pop_theta_0.001.txt,0.00135646843495,1512283,1000,1000,0,10000000
1000_1000_1e-05_4_exp_growth_1_pop_theta_0.001.txt,0.0013566067137,1513823,1000,1000,1E-05,10000000
10_1000_1e-05_5_exp_growth_1_pop_theta_0.001.txt,0.001356678087442,57531,10,1000,1E-05,10000000
10_100_1e-05_8_exp_growth_1_pop_theta_0.001.txt,0.001356794632487,57280,10,100,1E-05,10000000
100_1000_0.0_1_exp_growth_1_pop_theta_0.001.txt,0.001356821976198,346403,100,1000,0,10000000
10_1000_0.001_3_exp_growth_1_pop_theta_0.001.txt,0.001356879714342,58053,10,1000,0.001,10000000
10_100_1e-05_1_exp_growth_1_pop_theta_0.001.txt,0.001356930418979,57847,10,100,1E-05,10000000
100_100_0.001_5_exp_growth_1_pop_theta_0.001.txt,0.00135709533719,345721,100,100,0.001,10000000
10_100_0.0001_5_exp_growth_1_pop_theta_0.001.txt,0.001357242431918,57827,10,100,0.0001,10000000
1000_100_0.0001_4_exp_growth_1_pop_theta_0.001.txt,0.0013572635785,1512829,1000,100,0.0001,10000000
100_1000_0.0001_7_exp_growth_1_pop_theta_0.001.txt,0.001357357402645,345340,100,1000,0.0001,10000000
100_1000_0.0001_5_exp_growth_1_pop_theta_0.001.txt,0.001357718241488,345999,100,1000,0.0001,10000000
10_10_1e-05_0_exp_growth_1_pop_theta_0.001.txt,0.001357870937555,57119,10,10,1E-05,10000000
100_10_0.0001_3_exp_growth_1_pop_theta_0.001.txt,0.001357886175372,348937,100,10,0.0001,10000000
100_100_1e-05_8_exp_growth_1_pop_theta_0.001.txt,0.001357888538678,346137,100,100,1E-05,10000000
100_100_0.0001_8_exp_growth_1_pop_theta_0.001.txt,0.001358072394545,346718,100,100,0.0001,10000000
1000_100_0.001_7_exp_growth_1_pop_theta_0.001.txt,0.0013581484165,1510329,1000,100,0.001,10000000
10_10_1e-05_8_exp_growth_1_pop_theta_0.001.txt,0.001358275623566,57330,10,10,1E-05,10000000
1000_1000_0.0_6_exp_growth_1_pop_theta_0.001.txt,0.00135840373055,1518709,1000,1000,0,10000000
10_100_0.001_4_exp_growth_1_pop_theta_0.001.txt,0.001358772807568,57489,10,100,0.001,10000000
1000_1000_0.0_7_exp_growth_1_pop_theta_0.001.txt,0.0013593152337,1513354,1000,1000,0,10000000
10_1000_1e-05_1_exp_growth_1_pop_theta_0.001.txt,0.001359315949809,57670,10,1000,1E-05,10000000
1000_100_0.0_4_exp_growth_1_pop_theta_0.001.txt,0.0013593988034,1510777,1000,100,0,10000000
10_10_0.0001_7_exp_growth_1_pop_theta_0.001.txt,0.001359520410156,57897,10,10,0.0001,10000000
100_1000_0.0_4_exp_growth_1_pop_theta_0.001.txt,0.001359730134876,347025,100,1000,0,10000000
1000_100_0.001_0_exp_growth_1_pop_theta_0.001.txt,0.0013598924253,1522273,1000,100,0.001,10000000
10_10_0.0001_9_exp_growth_1_pop_theta_0.001.txt,0.001360016594255,58148,10,10,0.0001,10000000
10_10_0.001_8_exp_growth_1_pop_theta_0.001.txt,0.001360098395647,57931,10,10,0.001,10000000
1000_100_0.0001_7_exp_growth_1_pop_theta_0.001.txt,0.0013602005479,1517085,1000,100,0.0001,10000000
100_10_0.0_8_exp_growth_1_pop_theta_0.001.txt,0.001361356864793,346572,100,10,0,10000000
10_1000_1e-05_7_exp_growth_1_pop_theta_0.001.txt,0.001361859565729,57909,10,1000,1E-05,10000000
100_10_0.001_6_exp_growth_1_pop_theta_0.001.txt,0.001363016576033,346039,100,10,0.001,10000000
1000_10_0.0_1_exp_growth_1_pop_theta_0.001.txt,0.00136319353305,1519890,1000,10,0,10000000
100_1000_0.0001_8_exp_growth_1_pop_theta_0.001.txt,0.00136342647719,347444,100,1000,0.0001,10000000
100_10_1e-05_6_exp_growth_1_pop_theta_0.001.txt,0.001363473481488,345354,100,10,1E-05,10000000
100_1000_0.0001_6_exp_growth_1_pop_theta_0.001.txt,0.001363999214876,346814,100,1000,0.0001,10000000
1000_1000_0.0001_4_exp_growth_1_pop_theta_0.001.txt,0.00136401363285,1514158,1000,1000,0.0001,10000000
10_1000_0.001_1_exp_growth_1_pop_theta_0.001.txt,0.001365015195961,57828,10,1000,0.001,10000000
10_1000_0.0_3_exp_growth_1_pop_theta_0.001.txt,0.001366088312714,57955,10,1000,0,10000000
10_100_0.0_1_exp_growth_1_pop_theta_0.001.txt,0.00136905882639,57855,10,100,0,10000000
10_1000_1e-05_3_const_1_pop_theta_0.0007750000000000001.txt,0.0014217674577,42726,10,1000,1E-05,10000000
1000_10_1e-05_8_const_1_pop_theta_0.0007750000000000001.txt,0.00143571945705,111381,1000,10,1E-05,10000000
1000_10_1e-05_0_const_1_pop_theta_0.0007750000000000001.txt,0.00144101081935,112855,1000,10,1E-05,10000000
100_10_0.001_9_const_1_pop_theta_0.0007750000000000001.txt,0.001457182486116,74707,100,10,0.001,10000000
1000_1000_0.001_5_const_1_pop_theta_0.0007750000000000001.txt,0.0014587789839,113796,1000,1000,0.001,10000000
10_1000_0.001_6_const_1_pop_theta_0.0007750000000000001.txt,0.001459679409862,43615,10,1000,0.001,10000000
10_1000_0.001_2_const_1_pop_theta_0.0007750000000000001.txt,0.001461722167239,43649,10,1000,0.001,10000000
100_10_0.001_3_const_1_pop_theta_0.0007750000000000001.txt,0.001462130836364,77735,100,10,0.001,10000000
1000_1000_0.0_2_const_1_pop_theta_0.0007750000000000001.txt,0.0014629476589,113648,1000,1000,0,10000000
100_100_0.0001_1_const_1_pop_theta_0.0007750000000000001.txt,0.001463807548926,78429,100,100,0.0001,10000000
1000_10_0.0001_0_const_1_pop_theta_0.0007750000000000001.txt,0.0014658758155,110887,1000,10,0.0001,10000000
10_10_0.0_6_const_1_pop_theta_0.0007750000000000001.txt,0.001465931169101,42578,10,10,0,10000000
10_100_0.001_8_const_1_pop_theta_0.0007750000000000001.txt,0.001470236268013,44766,10,100,0.001,10000000
100_1000_1e-05_3_const_1_pop_theta_0.0007750000000000001.txt,0.001470337724793,78378,100,1000,1E-05,10000000
1000_10_0.001_7_const_1_pop_theta_0.0007750000000000001.txt,0.0014705268033,113088,1000,10,0.001,10000000
100_1000_0.0_0_const_1_pop_theta_0.0007750000000000001.txt,0.001470758272893,75654,100,1000,0,10000000
10_1000_0.0001_2_const_1_pop_theta_0.0007750000000000001.txt,0.001470913026174,44418,10,1000,0.0001,10000000
1000_10_1e-05_3_const_1_pop_theta_0.0007750000000000001.txt,0.00147116889335,113478,1000,10,1E-05,10000000
100_1000_1e-05_8_const_1_pop_theta_0.0007750000000000001.txt,0.001471186752893,77964,100,1000,1E-05,10000000
100_100_0.001_6_const_1_pop_theta_0.0007750000000000001.txt,0.00147191736595,79918,100,100,0.001,10000000
10_100_0.001_9_const_1_pop_theta_0.0007750000000000001.txt,0.001472892466621,43683,10,100,0.001,10000000
1000_10_0.0001_8_const_1_pop_theta_0.0007750000000000001.txt,0.0014736871871,114387,1000,10,0.0001,10000000
100_10_0.0_3_const_1_pop_theta_0.0007750000000000001.txt,0.00147397657719,80055,100,10,0,10000000
10_1000_0.001_1_const_1_pop_theta_0.0007750000000000001.txt,0.001474096095285,44404,10,1000,0.001,10000000
100_10_0.0001_6_const_1_pop_theta_0.0007750000000000001.txt,0.001477384403636,79426,100,10,0.0001,10000000
10_10_1e-05_6_const_1_pop_theta_0.0007750000000000001.txt,0.001477893232428,44256,10,10,1E-05,10000000
10_100_0.0001_9_const_1_pop_theta_0.0007750000000000001.txt,0.001477951788844,44203,10,100,0.0001,10000000
10_1000_1e-05_7_const_1_pop_theta_0.0007750000000000001.txt,0.001478203624547,43259,10,1000,1E-05,10000000
1000_1000_1e-05_7_const_1_pop_theta_0.0007750000000000001.txt,0.00148144554865,113682,1000,1000,1E-05,10000000
10_10_0.001_3_const_1_pop_theta_0.0007750000000000001.txt,0.001481779551417,45229,10,10,0.001,10000000
10_100_0.0_5_const_1_pop_theta_0.0007750000000000001.txt,0.001482204885403,42826,10,100,0,10000000
1000_10_1e-05_4_const_1_pop_theta_0.0007750000000000001.txt,0.00148256769775,115335,1000,10,1E-05,10000000
1000_10_0.001_8_const_1_pop_theta_0.0007750000000000001.txt,0.00148401801805,112935,1000,10,0.001,10000000
10_100_0.0_1_const_1_pop_theta_0.0007750000000000001.txt,0.001486377863935,44962,10,100,0,10000000
1000_100_1e-05_1_const_1_pop_theta_0.0007750000000000001.txt,0.00148676598885,114128,1000,100,1E-05,10000000
100_100_0.001_5_const_1_pop_theta_0.0007750000000000001.txt,0.001486867961818,81457,100,100,0.001,10000000
1000_1000_0.001_8_const_1_pop_theta_0.0007750000000000001.txt,0.0014869543627,112495,1000,1000,0.001,10000000
100_100_0.001_2_const_1_pop_theta_0.0007750000000000001.txt,0.001487581950248,78882,100,100,0.001,10000000
100_100_1e-05_4_const_1_pop_theta_0.0007750000000000001.txt,0.001489164928099,77103,100,100,1E-05,10000000
100_10_0.001_6_const_1_pop_theta_0.0007750000000000001.txt,0.001491094758678,79287,100,10,0.001,10000000
10_10_0.0001_4_const_1_pop_theta_0.0007750000000000001.txt,0.001491138178414,44445,10,10,0.0001,10000000
1000_1000_0.0001_6_const_1_pop_theta_0.0007750000000000001.txt,0.00149137333485,114190,1000,1000,0.0001,10000000
10_100_1e-05_5_const_1_pop_theta_0.0007750000000000001.txt,0.001492398971081,44728,10,100,1E-05,10000000
10_10_1e-05_4_const_1_pop_theta_0.0007750000000000001.txt,0.001492556427801,43423,10,10,1E-05,10000000
100_10_1e-05_3_const_1_pop_theta_0.0007750000000000001.txt,0.001493672531074,77816,100,10,1E-05,10000000
10_1000_0.0001_1_const_1_pop_theta_0.0007750000000000001.txt,0.001493822746593,44076,10,1000,0.0001,10000000
100_10_0.0_1_const_1_pop_theta_0.0007750000000000001.txt,0.001494131715537,81188,100,10,0,10000000
100_10_0.0_8_const_1_pop_theta_0.0007750000000000001.txt,0.001494132242479,76790,100,10,0,10000000
10_10_0.0_0_const_1_pop_theta_0.0007750000000000001.txt,0.001494685426919,44055,10,10,0,10000000
10_10_1e-05_2_const_1_pop_theta_0.0007750000000000001.txt,0.001494697538477,44144,10,10,1E-05,10000000
100_1000_0.0001_2_const_1_pop_theta_0.0007750000000000001.txt,0.001496044908264,78232,100,1000,0.0001,10000000
100_10_1e-05_2_const_1_pop_theta_0.0007750000000000001.txt,0.001496438883471,80029,100,10,1E-05,10000000
1000_10_0.0_3_const_1_pop_theta_0.0007750000000000001.txt,0.0014965826566,112675,1000,10,0,10000000
1000_100_0.0001_6_const_1_pop_theta_0.0007750000000000001.txt,0.00149679548585,111547,1000,100,0.0001,10000000
1000_1000_1e-05_4_const_1_pop_theta_0.0007750000000000001.txt,0.001497355243,113996,1000,1000,1E-05,10000000
100_1000_1e-05_7_const_1_pop_theta_0.0007750000000000001.txt,0.001497365898017,78832,100,1000,1E-05,10000000
100_10_0.0001_9_const_1_pop_theta_0.0007750000000000001.txt,0.001497639339669,79084,100,10,0.0001,10000000
10_10_0.0001_6_const_1_pop_theta_0.0007750000000000001.txt,0.001497948243898,45520,10,10,0.0001,10000000
100_100_0.001_7_const_1_pop_theta_0.0007750000000000001.txt,0.001498200349256,78595,100,100,0.001,10000000
10_10_0.001_7_const_1_pop_theta_0.0007750000000000001.txt,0.001498694847564,43276,10,10,0.001,10000000
10_100_0.0001_0_const_1_pop_theta_0.0007750000000000001.txt,0.001498707391236,43766,10,100,0.0001,10000000
10_100_0.0001_8_const_1_pop_theta_0.0007750000000000001.txt,0.001498879006372,43881,10,100,0.0001,10000000
10_100_0.0001_3_const_1_pop_theta_0.0007750000000000001.txt,0.001499098354475,44958,10,100,0.0001,10000000
10_1000_0.0001_0_const_1_pop_theta_0.0007750000000000001.txt,0.001499901393981,44288,10,1000,0.0001,10000000
100_100_0.0001_4_const_1_pop_theta_0.0007750000000000001.txt,0.001500351081157,78948,100,100,0.0001,10000000
