fname,true_pairwise_het,true_num_seg,pool_size,read_depth,seq_error,num_sites,est_pi_within
1000_100_0.0_3_exp_growth_1_pop_theta_0.0001.txt,0.0001297319955,162442,1000,100,0,10000000,0.000129489501647008
10_10_1e-05_4_exp_growth_1_pop_theta_0.0001.txt,0.000130037275169,5560,10,10,1E-05,10000000,0.000150837965185669
10_100_0.0001_3_exp_growth_1_pop_theta_0.0001.txt,0.000130093498677,5614,10,100,0.0001,10000000,0.000353604438179541
100_100_0.0001_3_exp_growth_1_pop_theta_0.0001.txt,0.000130696759174,34956,100,100,0.0001,10000000,0.000333428795634677
10_100_0.001_2_exp_growth_1_pop_theta_0.0001.txt,0.000131099771395,5642,10,100,0.001,10000000,0.00234668539315814
10_100_1e-05_5_exp_growth_1_pop_theta_0.0001.txt,0.000131174246054,5667,10,100,1E-05,10000000,0.000152727353253386
10_10_0.0_4_exp_growth_1_pop_theta_0.0001.txt,0.00013117813136,5740,10,10,0,10000000,0.000132078037977005
10_10_0.0_3_exp_growth_1_pop_theta_0.0001.txt,0.000131441296147,5621,10,10,0,10000000,0.000130077859397499
100_100_0.0_1_exp_growth_1_pop_theta_0.0001.txt,0.000131469890248,35124,100,100,0,10000000,0.000131827172898752
100_1000_0.0_0_exp_growth_1_pop_theta_0.0001.txt,0.000131472496198,35036,100,1000,0,10000000,0.00013153997094839
1000_10_0.0001_2_exp_growth_1_pop_theta_0.0001.txt,0.00013163793055,162475,1000,10,0.0001,10000000,0.000332453936228932
1000_10_1e-05_0_exp_growth_1_pop_theta_0.0001.txt,0.0001317978216,163223,1000,10,1E-05,10000000,0.000151899223417669
10_10_0.001_0_exp_growth_1_pop_theta_0.0001.txt,0.000131901773159,5701,10,10,0.001,10000000,0.00236167669949557
100_100_0.0_9_exp_growth_1_pop_theta_0.0001.txt,0.000131937171901,34978,100,100,0,10000000,0.000132367725574481
100_1000_0.0_2_exp_growth_1_pop_theta_0.0001.txt,0.000131985495041,34508,100,1000,0,10000000,0.000131265492511916
100_1000_0.0001_7_exp_growth_1_pop_theta_0.0001.txt,0.00013204951719,35286,100,1000,0.0001,10000000,0.000334456620998609
10_10_0.001_3_exp_growth_1_pop_theta_0.0001.txt,0.000132095482404,5710,10,10,0.001,10000000,0.00235486348139498
100_100_0.0001_2_exp_growth_1_pop_theta_0.0001.txt,0.000132136248099,34436,100,100,0.0001,10000000,0.000332676712418438
100_10_0.0001_1_exp_growth_1_pop_theta_0.0001.txt,0.000132169588926,35089,100,10,0.0001,10000000,0.000333678120520912
1000_100_0.0001_6_exp_growth_1_pop_theta_0.0001.txt,0.00013224413035,161936,1000,100,0.0001,10000000,0.000332710149233869
1000_10_0.001_1_exp_growth_1_pop_theta_0.0001.txt,0.00013225444475,162650,1000,10,0.001,10000000,0.00212959193848057
1000_100_0.0_9_exp_growth_1_pop_theta_0.0001.txt,0.0001322785445,162471,1000,100,0,10000000,0.000132516054272621
100_100_0.001_5_exp_growth_1_pop_theta_0.0001.txt,0.000132287366446,34878,100,100,0.001,10000000,0.00214795369746473
1000_10_0.001_9_exp_growth_1_pop_theta_0.0001.txt,0.00013232983,162913,1000,10,0.001,10000000,0.00212784795725972
1000_1000_1e-05_6_exp_growth_1_pop_theta_0.0001.txt,0.00013237631245,162577,1000,1000,1E-05,10000000,0.00015215044777489
100_100_0.001_2_exp_growth_1_pop_theta_0.0001.txt,0.000132409342479,34883,100,100,0.001,10000000,0.00215110010364239
100_1000_0.0001_4_exp_growth_1_pop_theta_0.0001.txt,0.000132456143306,35037,100,1000,0.0001,10000000,0.000333850758366268
1000_10_0.0_3_exp_growth_1_pop_theta_0.0001.txt,0.0001325615455,161069,1000,10,0,10000000,0.000131780271881426
100_10_0.001_3_exp_growth_1_pop_theta_0.0001.txt,0.000132562703306,34949,100,10,0.001,10000000,0.00214566423733104
100_100_0.001_7_exp_growth_1_pop_theta_0.0001.txt,0.000132577158017,35306,100,100,0.001,10000000,0.00215775840170744
10_100_1e-05_8_exp_growth_1_pop_theta_0.0001.txt,0.000132580680914,5650,10,100,1E-05,10000000,0.000154993166455635
10_1000_1e-05_0_exp_growth_1_pop_theta_0.0001.txt,0.000132602859916,5644,10,1000,1E-05,10000000,0.000154417438985175
100_100_0.001_8_exp_growth_1_pop_theta_0.0001.txt,0.000132680627273,34979,100,100,0.001,10000000,0.00215162142507486
10_10_0.001_9_exp_growth_1_pop_theta_0.0001.txt,0.000132684318008,5688,10,10,0.001,10000000,0.00234692382226687
100_1000_0.001_1_exp_growth_1_pop_theta_0.0001.txt,0.000132708409752,35014,100,1000,0.001,10000000,0.00215001064316592
10_1000_0.0_5_exp_growth_1_pop_theta_0.0001.txt,0.000132721325556,5608,10,1000,0,10000000,0.000130972134898606
1000_1000_0.0_9_exp_growth_1_pop_theta_0.0001.txt,0.00013272656175,162796,1000,1000,0,10000000,0.00013266301008479
10_10_0.0_6_exp_growth_1_pop_theta_0.0001.txt,0.000132753213999,5671,10,10,0,10000000,0.000132277614994797
10_100_1e-05_6_exp_growth_1_pop_theta_0.0001.txt,0.000132753358102,5683,10,100,1E-05,10000000,0.000154988804614281
100_100_1e-05_7_exp_growth_1_pop_theta_0.0001.txt,0.000132780687934,35113,100,100,1E-05,10000000,0.000153400149218928
1000_100_0.001_2_exp_growth_1_pop_theta_0.0001.txt,0.00013280414595,162682,1000,100,0.001,10000000,0.0021312028972144
100_10_0.0_5_exp_growth_1_pop_theta_0.0001.txt,0.000132804299835,35034,100,10,0,10000000,0.000133080577462605
10_100_1e-05_3_exp_growth_1_pop_theta_0.0001.txt,0.000132844307617,5663,10,100,1E-05,10000000,0.000155944019177603
1000_1000_0.0_0_exp_growth_1_pop_theta_0.0001.txt,0.0001328470639,162891,1000,1000,0,10000000,0.000132396295325078
10_100_0.001_5_exp_growth_1_pop_theta_0.0001.txt,0.000132850777767,5755,10,100,0.001,10000000,0.00235748804097015
1000_10_0.001_7_exp_growth_1_pop_theta_0.0001.txt,0.0001328558171,162119,1000,10,0.001,10000000,0.00213565438210019
100_100_0.001_9_exp_growth_1_pop_theta_0.0001.txt,0.000132868735537,35139,100,100,0.001,10000000,0.00214772426190555
1000_1000_0.001_6_exp_growth_1_pop_theta_0.0001.txt,0.00013293387655,162305,1000,1000,0.001,10000000,0.00213296217290804
100_1000_1e-05_1_exp_growth_1_pop_theta_0.0001.txt,0.000132952877686,34922,100,1000,1E-05,10000000,0.000152794165491032
1000_10_1e-05_4_exp_growth_1_pop_theta_0.0001.txt,0.00013300760225,162886,1000,10,1E-05,10000000,0.000153023100552943
100_100_0.001_3_exp_growth_1_pop_theta_0.0001.txt,0.000133019433388,35212,100,100,0.001,10000000,0.0021508597384593
