fname,true_pi_w,true_pi_b,true_pi_t,true_hudson_fst,true_nei_fst,pool_size,read_depth,seq_error,num_sites
10_1000_0.0_8_const_2_pop_t_div_1.0.txt,0.002015571842957,0.002951051965494,0.002483311904225,0.316998864633866,0.188353327857324,10,1000,0,1000000
10_100_0.0_9_stat_2_pop_beta_0.325.txt,0.071750081458122,0.105090037784009,0.088420059621066,0.317251349689405,0.188531632238034,10,100,0,1000
100_10_0.001_6_stat_2_pop_beta_0.325.txt,0.076784139385,0.112472859032671,0.094628499208835,0.317309615445135,0.188572786983077,100,10,0.001,1000
1000_100_1e-05_3_stat_2_pop_beta_0.325.txt,0.073737208489472,0.108010454856156,0.090873831672814,0.317314156415019,0.188575994517775,1000,100,1E-05,1000
1000_100_1e-05_3_const_2_pop_t_div_1.0.txt,0.002016218769,0.002953432302,0.0024848255355,0.31733029139195,0.188587391672054,1000,100,1E-05,1000000
1000_1000_0.0_7_stat_2_pop_beta_0.325.txt,0.072130339619593,0.105660112534508,0.088895226077051,0.317336146163613,0.188591527321457,1000,1000,0,1000
1000_100_0.0001_8_stat_2_pop_beta_0.325.txt,0.070657732912232,0.103521423120419,0.087089578016326,0.317457867343638,0.188677514329132,1000,100,0.0001,1000
100_10_0.001_0_stat_2_pop_beta_0.325.txt,0.075833169348529,0.111119959620723,0.093476564484626,0.317555823387953,0.188746722062077,100,10,0.001,1000
10_100_1e-05_3_const_2_pop_t_div_1.0.txt,0.002174212500735,0.003185957200274,0.002680084850505,0.317563807653177,0.188752363446365,10,100,1E-05,1000000
10_10_0.0001_7_const_2_pop_t_div_0.75.txt,0.001921434632879,0.002816777941378,0.002369106287129,0.317860806614054,0.1889622498922,10,10,0.0001,1000000
1000_1000_0.0_6_const_2_pop_t_div_1.0.txt,0.002368098969,0.003471749996,0.0029199244825,0.317894729825476,0.188986227831328,1000,1000,0,1000000
1000_100_0.001_4_stat_2_pop_beta_0.325.txt,0.071575333589681,0.104956078600794,0.088265706095238,0.31804489512302,0.189092380766181,1000,100,0.001,1000
10_10_0.0_1_const_2_pop_t_div_1.0.txt,0.001807044289775,0.002650311812567,0.002228678051171,0.318176721242104,0.189185585228135,10,10,0,1000000
10_10_0.0_8_stat_2_pop_beta_0.325.txt,0.067766815905131,0.099393886719254,0.083580351312193,0.318199356701442,0.189201590550798,10,10,0,1000
1000_100_0.001_0_stat_2_pop_beta_0.325.txt,0.080933880452267,0.118718391669811,0.099826136061039,0.318270073289345,0.189251596367711,1000,100,0.001,1000
100_1000_0.001_8_stat_2_pop_beta_0.325.txt,0.072427577194529,0.106241843087726,0.089334710141128,0.318276348663078,0.18925603407555,100,1000,0.001,1000
1000_1000_0.001_1_stat_2_pop_beta_0.325.txt,0.079437665871517,0.116537514097262,0.09798758998439,0.318351120779716,0.189308912647284,1000,1000,0.001,1000
10_100_0.0_5_stat_2_pop_beta_0.325.txt,0.075268613254223,0.110430960625019,0.092849786939621,0.318410228180433,0.18935071651625,10,100,0,1000
1000_100_1e-05_9_const_2_pop_t_div_1.0.txt,0.00241802479625,0.0035477720615,0.002982898428875,0.318438514556762,0.189370723172121,1000,100,1E-05,1000000
100_10_0.0_4_const_2_pop_t_div_1.0.txt,0.001936413238017,0.002841189178512,0.002388801208264,0.31844973482879,0.18937865933869,100,10,0,1000000
10_10_0.0001_6_stat_2_pop_beta_0.325.txt,0.066647199821857,0.097787873809054,0.082217536815455,0.318451284133693,0.189379755179815,10,10,0.0001,1000
10_10_0.0_6_stat_2_pop_beta_0.325.txt,0.063070582800169,0.092551848160793,0.077811215480481,0.318537835240252,0.189440976975991,10,10,0,1000
100_100_0.001_2_stat_2_pop_beta_0.325.txt,0.072735977178109,0.106757164873142,0.089746571025625,0.318678261411864,0.18954032062862,100,100,0.001,1000
10_1000_0.001_8_stat_2_pop_beta_0.325.txt,0.070568442311538,0.103577659787867,0.087073051049703,0.318690512451565,0.189548988340188,10,1000,0.001,1000
1000_10_1e-05_1_const_2_pop_t_div_0.75.txt,0.0016882549715,0.002478205419,0.00208323019525,0.318759067123181,0.189597493666634,1000,10,1E-05,1000000
1000_10_1e-05_2_const_2_pop_t_div_1.0.txt,0.00208542305625,0.003061704558,0.002573563807125,0.31886861820129,0.189675013894591,1000,10,1E-05,1000000
1000_1000_0.0001_9_const_2_pop_t_div_1.0.txt,0.00210360749975,0.003088685095,0.002596146297375,0.318931054785973,0.189719199616399,1000,1000,0.0001,1000000
10_10_0.0001_9_const_2_pop_t_div_1.0.txt,0.002046551802764,0.003005383283992,0.002525967543378,0.319038003017636,0.189794893394595,10,10,0.0001,1000000
1000_1000_1e-05_1_const_2_pop_t_div_1.0.txt,0.001984670928,0.002914841306,0.002449756117,0.319115272617195,0.189849587790641,1000,1000,1E-05,1000000
100_100_0.0001_8_const_2_pop_t_div_1.0.txt,0.002161148682645,0.003175080831405,0.002668114757025,0.31934057827168,0.190009096514775,100,100,0.0001,1000000
1000_10_0.0_6_const_2_pop_t_div_0.75.txt,0.001873044345,0.002751969409,0.002312506877,0.319380390321799,0.190037286535632,1000,10,0,1000000
1000_100_0.0_4_stat_2_pop_beta_0.325.txt,0.072365775165982,0.106347004332404,0.089356389749193,0.319531606740976,0.190144371666099,1000,100,0,1000
1000_1000_0.0_4_const_2_pop_t_div_0.75.txt,0.0018712065645,0.0027500570765,0.0023106318205,0.319575371547771,0.190175367664146,1000,1000,0,1000000
100_1000_0.0001_5_stat_2_pop_beta_0.325.txt,0.066447289665137,0.097676437427879,0.082061863546508,0.319720380729496,0.190278080542514,100,1000,0.0001,1000
1000_1000_0.0001_1_stat_2_pop_beta_0.325.txt,0.071282190827748,0.104801541193204,0.088041866010476,0.319836425913454,0.190360290418353,1000,1000,0.0001,1000
100_1000_0.0_9_const_2_pop_t_div_1.0.txt,0.002265791499174,0.00333199781157,0.002798894655372,0.319990099841668,0.190469175099197,100,1000,0,1000000
